code,name,市场类型
000001,平安银行,深圳
000002,万  科Ａ,深圳
000004,*ST国华,深圳
000006,深振业Ａ,深圳
000007,全新好,深圳
000008,神州高铁,深圳
000009,中国宝安,深圳
000010,美丽生态,深圳
000011,深物业A,深圳
000012,南  玻Ａ,深圳
000014,沙河股份,深圳
000016,深康佳Ａ,深圳
000017,深中华A,深圳
000019,深粮控股,深圳
000020,深华发Ａ,深圳
000021,深科技,深圳
000025,特  力Ａ,深圳
000026,飞亚达,深圳
000027,深圳能源,深圳
000028,国药一致,深圳
000029,深深房Ａ,深圳
000030,富奥股份,深圳
000031,大悦城,深圳
000032,深桑达Ａ,深圳
000034,神州数码,深圳
000035,中国天楹,深圳
000036,华联控股,深圳
000037,深南电A,深圳
000039,中集集团,深圳
000042,中洲控股,深圳
000045,深纺织Ａ,深圳
000048,京基智农,深圳
000049,德赛电池,深圳
000050,深天马Ａ,深圳
000055,方大集团,深圳
000056,皇庭国际,深圳
000058,深 赛 格,深圳
000059,华锦股份,深圳
000060,中金岭南,深圳
000061,农 产 品,深圳
000062,深圳华强,深圳
000063,中兴通讯,深圳
000065,北方国际,深圳
000066,中国长城,深圳
000068,华控赛格,深圳
000069,华侨城Ａ,深圳
000070,特发信息,深圳
000078,海王生物,深圳
000088,盐 田 港,深圳
000089,深圳机场,深圳
000090,天健集团,深圳
000096,广聚能源,深圳
000099,中信海直,深圳
000100,TCL科技,深圳
000151,中成股份,深圳
000153,丰原药业,深圳
000155,川能动力,深圳
000156,华数传媒,深圳
000157,中联重科,深圳
000158,常山北明,深圳
000159,国际实业,深圳
000166,申万宏源,深圳
000301,东方盛虹,深圳
000333,美的集团,深圳
000338,潍柴动力,深圳
000400,许继电气,深圳
000401,金隅冀东,深圳
000402,金 融 街,深圳
000403,派林生物,深圳
000404,长虹华意,深圳
000407,胜利股份,深圳
000408,藏格矿业,深圳
000409,云鼎科技,深圳
000410,沈阳机床,深圳
000411,英特集团,深圳
000415,渤海租赁,深圳
000417,合百集团,深圳
000419,通程控股,深圳
000420,吉林化纤,深圳
000421,南京公用,深圳
000422,湖北宜化,深圳
000423,东阿阿胶,深圳
000425,徐工机械,深圳
000426,兴业银锡,深圳
000428,华天酒店,深圳
000429,粤高速Ａ,深圳
000430,ST张家界,深圳
000488,ST晨鸣,深圳
000498,山东路桥,深圳
000501,武商集团,深圳
000503,国新健康,深圳
000504,*ST生物,深圳
000505,京粮控股,深圳
000506,招金黄金,深圳
000507,珠海港,深圳
000509,华塑控股,深圳
000510,新金路,深圳
000513,丽珠集团,深圳
000514,渝 开 发,深圳
000516,国际医学,深圳
000517,荣安地产,深圳
000518,*ST四环,深圳
000519,中兵红箭,深圳
000520,凤凰航运,深圳
000521,长虹美菱,深圳
000523,红棉股份,深圳
000524,岭南控股,深圳
000525,红太阳,深圳
000526,学大教育,深圳
000528,柳    工,深圳
000529,广弘控股,深圳
000530,冰山冷热,深圳
000531,穗恒运Ａ,深圳
000532,华金资本,深圳
000533,顺钠股份,深圳
000534,万泽股份,深圳
000536,华映科技,深圳
000537,中绿电,深圳
000538,云南白药,深圳
000539,粤电力Ａ,深圳
000541,佛山照明,深圳
000543,皖能电力,深圳
000544,中原环保,深圳
000545,金浦钛业,深圳
000546,金圆股份,深圳
000547,航天发展,深圳
000548,湖南投资,深圳
000550,江铃汽车,深圳
000551,创元科技,深圳
000552,甘肃能化,深圳
000553,安道麦A,深圳
000554,泰山石油,深圳
000555,神州信息,深圳
000557,西部创业,深圳
000558,天府文旅,深圳
000559,万向钱潮,深圳
000560,我爱我家,深圳
000561,烽火电子,深圳
000563,陕国投Ａ,深圳
000564,供销大集,深圳
000565,渝三峡Ａ,深圳
000566,海南海药,深圳
000567,海德股份,深圳
000568,泸州老窖,深圳
000570,苏常柴Ａ,深圳
000571,新大洲A,深圳
000572,海马汽车,深圳
000573,粤宏远Ａ,深圳
000576,甘化科工,深圳
000581,威孚高科,深圳
000582,北部湾港,深圳
000586,汇源通信,深圳
000589,贵州轮胎,深圳
000590,启迪药业,深圳
000591,太阳能,深圳
000592,平潭发展,深圳
000593,德龙汇能,深圳
000595,*ST宝实,深圳
000596,古井贡酒,深圳
000597,东北制药,深圳
000598,兴蓉环境,深圳
000599,青岛双星,深圳
000600,建投能源,深圳
000601,韶能股份,深圳
000603,盛达资源,深圳
000605,渤海股份,深圳
000607,华媒控股,深圳
000608,*ST阳光,深圳
000609,ST中迪,深圳
000610,西安旅游,深圳
000612,焦作万方,深圳
000615,*ST美谷,深圳
000617,中油资本,深圳
000619,海螺新材,深圳
000620,盈新发展,深圳
000623,吉林敖东,深圳
000625,长安汽车,深圳
000626,远大控股,深圳
000627,*ST天茂,深圳
000628,高新发展,深圳
000629,钒钛股份,深圳
000630,铜陵有色,深圳
000631,顺发恒能,深圳
000632,三木集团,深圳
000633,合金投资,深圳
000635,英 力 特,深圳
000636,风华高科,深圳
000637,茂化实华,深圳
000638,*ST万方,深圳
000639,西王食品,深圳
000650,仁和药业,深圳
000651,格力电器,深圳
000652,泰达股份,深圳
000655,金岭矿业,深圳
000656,*ST金科,深圳
000657,中钨高新,深圳
000659,珠海中富,深圳
000661,长春高新,深圳
000663,永安林业,深圳
000665,湖北广电,深圳
000668,*ST荣控,深圳
000669,ST金鸿,深圳
000670,盈方微,深圳
000672,上峰水泥,深圳
000676,智度股份,深圳
000677,恒天海龙,深圳
000678,襄阳轴承,深圳
000679,大连友谊,深圳
000680,山推股份,深圳
000681,视觉中国,深圳
000682,东方电子,深圳
000683,博源化工,深圳
000685,中山公用,深圳
000686,东北证券,深圳
000688,国城矿业,深圳
000690,宝新能源,深圳
000691,*ST亚太,深圳
000692,惠天热电,深圳
000695,滨海能源,深圳
000697,ST炼石,深圳
000698,沈阳化工,深圳
000700,模塑科技,深圳
000701,厦门信达,深圳
000702,正虹科技,深圳
000703,恒逸石化,深圳
000705,浙江震元,深圳
000707,双环科技,深圳
000708,中信特钢,深圳
000709,河钢股份,深圳
000710,贝瑞基因,深圳
000711,ST京蓝,深圳
000712,锦龙股份,深圳
000713,国投丰乐,深圳
000715,中兴商业,深圳
000716,黑芝麻,深圳
000717,中南股份,深圳
000718,苏宁环球,深圳
000719,中原传媒,深圳
000720,新能泰山,深圳
000721,西安饮食,深圳
000722,湖南发展,深圳
000723,美锦能源,深圳
000725,京东方Ａ,深圳
000726,鲁  泰Ａ,深圳
000727,冠捷科技,深圳
000728,国元证券,深圳
000729,燕京啤酒,深圳
000731,四川美丰,深圳
000733,振华科技,深圳
000735,罗 牛 山,深圳
000736,*ST中地,深圳
000737,北方铜业,深圳
000738,航发控制,深圳
000739,普洛药业,深圳
000750,国海证券,深圳
000751,锌业股份,深圳
000752,ST西发,深圳
000753,漳州发展,深圳
000755,山西高速,深圳
000756,新华制药,深圳
000757,浩物股份,深圳
000758,中色股份,深圳
000759,中百集团,深圳
000761,本钢板材,深圳
000762,西藏矿业,深圳
000766,通化金马,深圳
000767,晋控电力,深圳
000768,中航西飞,深圳
000776,广发证券,深圳
000777,中核科技,深圳
000778,新兴铸管,深圳
000779,甘咨询,深圳
000782,恒申新材,深圳
000783,长江证券,深圳
000785,居然智家,深圳
000786,北新建材,深圳
000788,北大医药,深圳
000789,万年青,深圳
000790,华神科技,深圳
000791,甘肃能源,深圳
000792,盐湖股份,深圳
000793,ST华闻,深圳
000795,英洛华,深圳
000796,凯撒旅业,深圳
000797,中国武夷,深圳
000798,中水渔业,深圳
000799,酒鬼酒,深圳
000800,一汽解放,深圳
000801,四川九洲,深圳
000802,北京文化,深圳
000803,山高环能,深圳
000807,云铝股份,深圳
000809,和展能源,深圳
000810,创维数字,深圳
000811,冰轮环境,深圳
000812,陕西金叶,深圳
000813,德展健康,深圳
000815,美利云,深圳
000816,智慧农业,深圳
000818,航锦科技,深圳
000819,岳阳兴长,深圳
000820,*ST节能,深圳
000821,京山轻机,深圳
000822,山东海化,深圳
000823,超声电子,深圳
000825,太钢不锈,深圳
000826,启迪环境,深圳
000828,东莞控股,深圳
000829,天音控股,深圳
000830,鲁西化工,深圳
000831,中国稀土,深圳
000833,粤桂股份,深圳
000837,秦川机床,深圳
000838,财信发展,深圳
000839,国安股份,深圳
000848,承德露露,深圳
000850,华茂股份,深圳
000851,*ST高鸿,深圳
000852,石化机械,深圳
000856,冀东装备,深圳
000858,五 粮 液,深圳
000859,国风新材,深圳
000860,顺鑫农业,深圳
000862,银星能源,深圳
000863,三湘印象,深圳
000868,安凯客车,深圳
000869,张  裕Ａ,深圳
000875,吉电股份,深圳
000876,新 希 望,深圳
000877,天山股份,深圳
000878,云南铜业,深圳
000880,潍柴重机,深圳
000881,中广核技,深圳
000882,华联股份,深圳
000883,湖北能源,深圳
000885,城发环境,深圳
000886,海南高速,深圳
000887,中鼎股份,深圳
000888,峨眉山Ａ,深圳
000889,中嘉博创,深圳
000890,法尔胜,深圳
000892,欢瑞世纪,深圳
000893,亚钾国际,深圳
000895,双汇发展,深圳
000897,津滨发展,深圳
000898,鞍钢股份,深圳
000899,赣能股份,深圳
000900,现代投资,深圳
000901,航天科技,深圳
000902,新洋丰,深圳
000903,ST云动,深圳
000905,厦门港务,深圳
000906,浙商中拓,深圳
000908,ST景峰,深圳
000909,ST数源,深圳
000910,大亚圣象,深圳
000911,广农糖业,深圳
000912,泸天化,深圳
000913,钱江摩托,深圳
000915,华特达因,深圳
000917,电广传媒,深圳
000919,金陵药业,深圳
000920,沃顿科技,深圳
000921,海信家电,深圳
000922,佳电股份,深圳
000923,河钢资源,深圳
000925,众合科技,深圳
000926,福星股份,深圳
000927,中国铁物,深圳
000928,中钢国际,深圳
000929,*ST兰黄,深圳
000930,中粮科技,深圳
000931,中 关 村,深圳
000932,华菱钢铁,深圳
000933,神火股份,深圳
000935,四川双马,深圳
000936,华西股份,深圳
000937,冀中能源,深圳
000938,紫光股份,深圳
000948,南天信息,深圳
000949,新乡化纤,深圳
000950,重药控股,深圳
000951,中国重汽,深圳
000952,广济药业,深圳
000953,河化股份,深圳
000955,欣龙控股,深圳
000957,中通客车,深圳
000958,电投产融,深圳
000959,首钢股份,深圳
000960,锡业股份,深圳
000962,东方钽业,深圳
000963,华东医药,深圳
000965,天保基建,深圳
000966,长源电力,深圳
000967,盈峰环境,深圳
000968,蓝焰控股,深圳
000969,安泰科技,深圳
000970,中科三环,深圳
000972,*ST中基,深圳
000973,佛塑科技,深圳
000975,山金国际,深圳
000977,浪潮信息,深圳
000978,桂林旅游,深圳
000980,众泰汽车,深圳
000981,山子高科,深圳
000983,山西焦煤,深圳
000985,大庆华科,深圳
000987,越秀资本,深圳
000988,华工科技,深圳
000989,九芝堂,深圳
000990,诚志股份,深圳
000993,闽东电力,深圳
000995,皇台酒业,深圳
000997,新 大 陆,深圳
000998,隆平高科,深圳
000999,华润三九,深圳
001201,东瑞股份,深圳
001202,炬申股份,深圳
001203,大中矿业,深圳
001205,盛航股份,深圳
001206,依依股份,深圳
001207,联科科技,深圳
001208,华菱线缆,深圳
001209,洪兴股份,深圳
001210,金房能源,深圳
001211,双枪科技,深圳
001212,中旗新材,深圳
001213,中铁特货,深圳
001215,千味央厨,深圳
001216,华瓷股份,深圳
001217,华尔泰,深圳
001218,丽臣实业,深圳
001219,青岛食品,深圳
001221,悍高集团,深圳
001222,源飞宠物,深圳
001223,欧克科技,深圳
001225,和泰机电,深圳
001226,拓山重工,深圳
001227,兰州银行,深圳
001228,永泰运,深圳
001229,魅视科技,深圳
001230,劲旅环境,深圳
001231,农心科技,深圳
001234,泰慕士,深圳
001236,弘业期货,深圳
001238,浙江正特,深圳
001239,永达股份,深圳
001255,博菲电气,深圳
001256,炜冈科技,深圳
001258,立新能源,深圳
001259,利仁科技,深圳
001260,坤泰股份,深圳
001266,宏英智能,深圳
001267,汇绿生态,深圳
001268,联合精密,深圳
001269,欧晶科技,深圳
001270,*ST铖昌,深圳
001277,速达股份,深圳
001278,一彬科技,深圳
001279,强邦新材,深圳
001282,三联锻造,深圳
001283,豪鹏科技,深圳
001286,陕西能源,深圳
001287,中电港,深圳
001288,运机集团,深圳
001289,龙源电力,深圳
001296,长江材料,深圳
001298,好上好,深圳
001299,美能能源,深圳
001300,三柏硕,深圳
001301,尚太科技,深圳
001306,夏厦精密,深圳
001308,康冠科技,深圳
001309,德明利,深圳
001311,多利科技,深圳
001313,粤海饲料,深圳
001314,亿道信息,深圳
001316,润贝航科,深圳
001317,三羊马,深圳
001318,阳光乳业,深圳
001319,铭科精技,深圳
001322,箭牌家居,深圳
001323,慕思股份,深圳
001324,长青科技,深圳
001326,联域股份,深圳
001328,登康口腔,深圳
001330,博纳影业,深圳
001331,胜通能源,深圳
001332,锡装股份,深圳
001333,光华股份,深圳
001335,信凯科技,深圳
001336,楚环科技,深圳
001337,四川黄金,深圳
001338,永顺泰,深圳
001339,智微智能,深圳
001356,富岭股份,深圳
001358,兴欣新材,深圳
001359,平安电工,深圳
001360,南矿集团,深圳
001366,播恩集团,深圳
001367,海森药业,深圳
001368,通达创智,深圳
001373,翔腾新材,深圳
001376,百通能源,深圳
001378,德冠新材,深圳
001379,腾达科技,深圳
001380,华纬科技,深圳
001382,新亚电缆,深圳
001387,雪祺电气,深圳
001388,信通电子,深圳
001389,广合科技,深圳
001390,古麒绒材,深圳
001391,国货航,深圳
001395,亚联机械,深圳
001400,江顺科技,深圳
001696,宗申动力,深圳
001872,招商港口,深圳
001896,豫能控股,深圳
001914,招商积余,深圳
001965,招商公路,深圳
001979,招商蛇口,深圳
002001,新 和 成,深圳
002003,伟星股份,深圳
002004,华邦健康,深圳
002005,ST德豪,深圳
002006,精工科技,深圳
002007,华兰生物,深圳
002008,大族激光,深圳
002009,天奇股份,深圳
002010,传化智联,深圳
002011,盾安环境,深圳
002012,凯恩股份,深圳
002014,永新股份,深圳
002015,协鑫能科,深圳
002016,世荣兆业,深圳
002017,东信和平,深圳
002019,亿帆医药,深圳
002020,京新药业,深圳
002021,中捷资源,深圳
002022,科华生物,深圳
002023,海特高新,深圳
002024,ST易购,深圳
002025,航天电器,深圳
002026,山东威达,深圳
002027,分众传媒,深圳
002028,思源电气,深圳
002029,七 匹 狼,深圳
002030,达安基因,深圳
002031,巨轮智能,深圳
002032,苏 泊 尔,深圳
002033,丽江股份,深圳
002034,旺能环境,深圳
002035,华帝股份,深圳
002036,联创电子,深圳
002037,保利联合,深圳
002038,双鹭药业,深圳
002039,黔源电力,深圳
002040,南 京 港,深圳
002041,登海种业,深圳
002042,华孚时尚,深圳
002043,兔 宝 宝,深圳
002044,美年健康,深圳
002045,国光电器,深圳
002046,国机精工,深圳
002047,*ST宝鹰,深圳
002048,宁波华翔,深圳
002049,紫光国微,深圳
002050,三花智控,深圳
002051,中工国际,深圳
002052,同洲电子,深圳
002053,云南能投,深圳
002054,德美化工,深圳
002055,得润电子,深圳
002056,横店东磁,深圳
002057,中钢天源,深圳
002058,*ST威尔,深圳
002059,云南旅游,深圳
002060,广东建工,深圳
002061,浙江交科,深圳
002062,宏润建设,深圳
002063,远光软件,深圳
002064,华峰化学,深圳
002065,东华软件,深圳
002066,瑞泰科技,深圳
002067,景兴纸业,深圳
002068,黑猫股份,深圳
002069,獐子岛,深圳
002072,凯瑞德,深圳
002073,软控股份,深圳
002074,国轩高科,深圳
002075,沙钢股份,深圳
002076,*ST星光,深圳
002077,大港股份,深圳
002078,太阳纸业,深圳
002079,苏州固锝,深圳
002080,中材科技,深圳
002081,金 螳 螂,深圳
002082,万邦德,深圳
002083,孚日股份,深圳
002084,海鸥住工,深圳
002085,万丰奥威,深圳
002086,东方海洋,深圳
002088,鲁阳节能,深圳
002090,金智科技,深圳
002091,江苏国泰,深圳
002092,中泰化学,深圳
002093,国脉科技,深圳
002094,青岛金王,深圳
002095,生 意 宝,深圳
002096,易普力,深圳
002097,山河智能,深圳
002098,浔兴股份,深圳
002099,海翔药业,深圳
002100,天康生物,深圳
002101,广东鸿图,深圳
002102,能特科技,深圳
002103,广博股份,深圳
002104,恒宝股份,深圳
002105,信隆健康,深圳
002106,莱宝高科,深圳
002107,沃华医药,深圳
002108,沧州明珠,深圳
002109,兴化股份,深圳
002110,三钢闽光,深圳
002111,威海广泰,深圳
002112,三变科技,深圳
002114,罗平锌电,深圳
002115,三维通信,深圳
002116,中国海诚,深圳
002117,东港股份,深圳
002119,康强电子,深圳
002120,韵达股份,深圳
002121,科陆电子,深圳
002122,汇洲智能,深圳
002123,梦网科技,深圳
002124,天邦食品,深圳
002125,湘潭电化,深圳
002126,银轮股份,深圳
002127,南极电商,深圳
002128,电投能源,深圳
002129,TCL中环,深圳
002130,沃尔核材,深圳
002131,利欧股份,深圳
002132,恒星科技,深圳
002133,广宇集团,深圳
002134,天津普林,深圳
002135,东南网架,深圳
002136,安 纳 达,深圳
002137,实益达,深圳
002138,顺络电子,深圳
002139,拓邦股份,深圳
002140,东华科技,深圳
002141,贤丰控股,深圳
002142,宁波银行,深圳
002144,宏达高科,深圳
002145,中核钛白,深圳
002146,荣盛发展,深圳
002148,北纬科技,深圳
002149,西部材料,深圳
002150,通润装备,深圳
002151,北斗星通,深圳
002152,广电运通,深圳
002153,石基信息,深圳
002154,报 喜 鸟,深圳
002155,湖南黄金,深圳
002156,通富微电,深圳
002157,正邦科技,深圳
002158,汉钟精机,深圳
002159,三特索道,深圳
002160,常铝股份,深圳
002161,远 望 谷,深圳
002162,悦心健康,深圳
002163,海南发展,深圳
002164,宁波东力,深圳
002165,红 宝 丽,深圳
002166,莱茵生物,深圳
002167,东方锆业,深圳
002168,*ST惠程,深圳
002169,智光电气,深圳
002170,芭田股份,深圳
002171,楚江新材,深圳
002172,澳洋健康,深圳
002173,创新医疗,深圳
002174,游族网络,深圳
002175,东方智造,深圳
002176,江特电机,深圳
002177,御银股份,深圳
002178,延华智能,深圳
002179,中航光电,深圳
002180,纳思达,深圳
002181,粤 传 媒,深圳
002182,宝武镁业,深圳
002183,怡 亚 通,深圳
002184,海得控制,深圳
002185,华天科技,深圳
002186,全 聚 德,深圳
002187,广百股份,深圳
002188,中天服务,深圳
002189,中光学,深圳
002190,成飞集成,深圳
002191,劲嘉股份,深圳
002192,融捷股份,深圳
002193,如意集团,深圳
002194,武汉凡谷,深圳
002195,岩山科技,深圳
002196,方正电机,深圳
002197,ST证通,深圳
002198,嘉应制药,深圳
002199,*ST东晶,深圳
002200,*ST交投,深圳
002201,九鼎新材,深圳
002202,金风科技,深圳
002203,海亮股份,深圳
002204,大连重工,深圳
002205,国统股份,深圳
002206,海 利 得,深圳
002207,准油股份,深圳
002208,合肥城建,深圳
002209,达 意 隆,深圳
002210,飞马国际,深圳
002211,ST宏达,深圳
002212,天融信,深圳
002213,大为股份,深圳
002214,*ST大立,深圳
002215,诺 普 信,深圳
002216,三全食品,深圳
002217,合力泰,深圳
002218,拓日新能,深圳
002219,新里程,深圳
002221,东华能源,深圳
002222,福晶科技,深圳
002223,鱼跃医疗,深圳
002224,三 力 士,深圳
002225,濮耐股份,深圳
002226,江南化工,深圳
002227,奥 特 迅,深圳
002228,合兴包装,深圳
002229,鸿博股份,深圳
002230,科大讯飞,深圳
002231,*ST奥维,深圳
002232,启明信息,深圳
002233,塔牌集团,深圳
002234,民和股份,深圳
002235,安妮股份,深圳
002236,大华股份,深圳
002237,恒邦股份,深圳
002238,天威视讯,深圳
002239,奥特佳,深圳
002240,盛新锂能,深圳
002241,歌尔股份,深圳
002242,九阳股份,深圳
002243,力合科创,深圳
002244,滨江集团,深圳
002245,蔚蓝锂芯,深圳
002246,北化股份,深圳
002247,聚力文化,深圳
002248,华东数控,深圳
002249,大洋电机,深圳
002250,联化科技,深圳
002251,步步高,深圳
002252,上海莱士,深圳
002253,*ST智胜,深圳
002254,泰和新材,深圳
002255,海陆重工,深圳
002256,兆新股份,深圳
002258,利尔化学,深圳
002259,升达林业,深圳
002261,拓维信息,深圳
002262,恩华药业,深圳
002263,大东南,深圳
002264,新 华 都,深圳
002265,建设工业,深圳
002266,浙富控股,深圳
002267,陕天然气,深圳
002268,电科网安,深圳
002269,美邦服饰,深圳
002270,华明装备,深圳
002271,东方雨虹,深圳
002272,川润股份,深圳
002273,水晶光电,深圳
002274,华昌化工,深圳
002275,桂林三金,深圳
002276,万马股份,深圳
002277,友阿股份,深圳
002278,神开股份,深圳
002279,久其软件,深圳
002281,光迅科技,深圳
002282,博深股份,深圳
002283,天润工业,深圳
002284,亚太股份,深圳
002285,世联行,深圳
002286,保龄宝,深圳
002287,奇正藏药,深圳
002289,*ST宇顺,深圳
002290,禾盛新材,深圳
002291,遥望科技,深圳
002292,奥飞娱乐,深圳
002293,罗莱生活,深圳
002294,信立泰,深圳
002295,精艺股份,深圳
002296,辉煌科技,深圳
002297,博云新材,深圳
002298,中电鑫龙,深圳
002299,圣农发展,深圳
002300,太阳电缆,深圳
002301,齐心集团,深圳
002302,西部建设,深圳
002303,美盈森,深圳
002304,洋河股份,深圳
002305,*ST南置,深圳
002306,*ST云网,深圳
002307,北新路桥,深圳
002309,中利集团,深圳
002310,东方园林,深圳
002311,海大集团,深圳
002312,川发龙蟒,深圳
002313,日海智能,深圳
002314,南山控股,深圳
002315,焦点科技,深圳
002316,亚联发展,深圳
002317,众生药业,深圳
002318,久立特材,深圳
002319,乐通股份,深圳
002320,海峡股份,深圳
002321,华英农业,深圳
002322,理工能科,深圳
002323,雅博股份,深圳
002324,普利特,深圳
002326,永太科技,深圳
002327,富安娜,深圳
002328,新朋股份,深圳
002329,皇氏集团,深圳
002330,得利斯,深圳
002331,皖通科技,深圳
002332,仙琚制药,深圳
002333,罗普斯金,深圳
002334,英威腾,深圳
002335,科华数据,深圳
002337,赛象科技,深圳
002338,奥普光电,深圳
002339,积成电子,深圳
002340,格林美,深圳
002342,巨力索具,深圳
002343,慈文传媒,深圳
002344,海宁皮城,深圳
002345,潮宏基,深圳
002346,柘中股份,深圳
002347,泰尔股份,深圳
002348,高乐股份,深圳
002349,精华制药,深圳
002350,北京科锐,深圳
002351,漫步者,深圳
002352,顺丰控股,深圳
002353,杰瑞股份,深圳
002354,天娱数科,深圳
002355,兴民智通,深圳
002356,赫美集团,深圳
002357,富临运业,深圳
002358,森源电气,深圳
002360,同德化工,深圳
002361,神剑股份,深圳
002362,汉王科技,深圳
002363,隆基机械,深圳
002364,中恒电气,深圳
002365,永安药业,深圳
002366,融发核电,深圳
002367,康力电梯,深圳
002368,太极股份,深圳
002369,卓翼科技,深圳
002370,亚太药业,深圳
002371,北方华创,深圳
002372,伟星新材,深圳
002373,千方科技,深圳
002374,中锐股份,深圳
002375,亚厦股份,深圳
002376,新北洋,深圳
002377,国创高新,深圳
002378,章源钨业,深圳
002379,宏创控股,深圳
002380,科远智慧,深圳
002381,双箭股份,深圳
002382,蓝帆医疗,深圳
002383,合众思壮,深圳
002384,东山精密,深圳
002385,大北农,深圳
002386,天原股份,深圳
002387,维信诺,深圳
002388,ST新亚,深圳
002389,航天彩虹,深圳
002390,信邦制药,深圳
002391,长青股份,深圳
002392,北京利尔,深圳
002393,力生制药,深圳
002394,联发股份,深圳
002395,双象股份,深圳
002396,星网锐捷,深圳
002397,梦洁股份,深圳
